region_id,type,label,AO_future,AO_pressures,AO_resilience,AO_score,AO_status,AO_trend,BD_future,BD_pressures,BD_resilience,BD_score,BD_status,BD_trend,CP_future,CP_pressures,CP_resilience,CP_score,CP_status,CP_trend,CS_future,CS_pressures,CS_resilience,CS_score,CS_status,CS_trend,CW_future,CW_pressures,CW_resilience,CW_score,CW_status,CW_trend,ECO_future,ECO_pressures,ECO_resilience,ECO_score,ECO_status,ECO_trend,FIS_future,FIS_pressures,FIS_resilience,FIS_score,FIS_status,FIS_trend,FP_future,FP_pressures,FP_resilience,FP_score,FP_status,FP_trend,HAB_future,HAB_pressures,HAB_resilience,HAB_score,HAB_status,HAB_trend,ICO_future,ICO_pressures,ICO_resilience,ICO_score,ICO_status,ICO_trend,Index_future,Index_score,LE_future,LE_pressures,LE_resilience,LE_score,LE_status,LE_trend,LIV_future,LIV_pressures,LIV_resilience,LIV_score,LIV_status,LIV_trend,LSP_future,LSP_pressures,LSP_resilience,LSP_score,LSP_status,LSP_trend,MAR_future,MAR_pressures,MAR_resilience,MAR_score,MAR_status,MAR_trend,NP_future,NP_pressures,NP_resilience,NP_score,NP_status,NP_trend,SP_future,SP_pressures,SP_resilience,SP_score,SP_status,SP_trend,SPP_future,SPP_pressures,SPP_resilience,SPP_score,SPP_status,SPP_trend,TR_future,TR_pressures,TR_resilience,TR_score,TR_status,TR_trend
0.0,global,GLOBAL,80.96,NA,NA,77.11,73.26,NA,91.94,NA,NA,91.19,90.44,NA,90.1,NA,NA,87.72,85.35,NA,80.03,NA,NA,79.22,78.42,NA,74.08,NA,NA,73.68,73.28,NA,87.92,NA,NA,87.78,87.65,NA,56.43,NA,NA,53.83,51.24,NA,56.5,NA,NA,53.92,51.34,NA,93.04,NA,NA,90.56,88.09,NA,72.11,NA,NA,67.43,62.75,NA,73.72,71.57,82.19,NA,NA,82.33,82.46,NA,76.46,NA,NA,76.87,77.28,NA,60.35,NA,NA,57.72,55.08,NA,35.59,NA,NA,32.84,30.1,NA,61.29,NA,NA,58.14,54.99,NA,66.23,NA,NA,62.57,58.92,NA,90.81,NA,NA,91.79,92.78,NA,52.0,NA,NA,48.66,45.32,NA
1.0,eez,Cocos Islands,100.0,10.67,78.37,96.49,92.98,0.01,100.0,NA,NA,97.5,95.01,-0.07,100.0,16.3,79.43,97.62,95.24,0.07,100.0,16.6,79.43,92.76,85.51,NA,94.11,34.81,91.93,88.6,83.09,-0.08,100.0,15.43,80.2,100.0,100.0,0.05,64.09,12.74,79.36,56.79,49.5,0.11,64.09,NA,NA,56.79,49.5,0.11,100.0,13.57,84.37,97.59,95.17,0.03,84.38,16.51,80.62,75.52,66.67,0.08,86.07,81.31,100.0,NA,NA,96.35,92.7,0.51,100.0,16.37,67.65,92.7,85.4,0.97,0.0,24.61,91.93,0.0,0.0,0.0,NA,11.21,91.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.19,NA,NA,37.76,33.33,0.04,100.0,16.5,77.26,97.42,94.85,-0.18,74.24,26.99,91.93,67.92,61.6,-0.01
2.0,eez,Christmas Island,100.0,11.31,83.74,96.49,92.98,0.01,100.0,NA,NA,96.96,93.92,-0.08,100.0,20.64,85.91,93.12,86.25,0.07,100.0,18.71,85.91,92.76,85.51,NA,86.16,48.17,91.93,81.35,76.54,-0.03,100.0,15.83,80.2,100.0,100.0,0.05,74.75,12.43,79.29,66.28,57.8,0.11,74.75,NA,NA,66.28,57.8,0.11,100.0,16.31,85.95,96.64,93.27,0.03,64.14,19.13,80.55,58.74,53.33,0.0,88.56,83.16,100.0,NA,NA,96.35,92.7,0.51,100.0,17.03,67.65,92.7,85.4,0.97,63.15,26.25,91.93,57.53,51.9,0.0,NA,11.93,91.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.65,NA,NA,58.13,52.62,0.0,100.0,16.42,77.26,97.28,94.56,-0.18,72.46,35.75,91.93,67.03,61.6,-0.01
3.0,eez,Norfolk Island,100.0,12.1,88.94,96.49,92.98,0.01,100.0,NA,NA,98.34,96.68,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.32,49.62,91.93,77.78,75.25,-0.11,100.0,16.14,80.2,100.0,100.0,0.05,56.23,11.78,88.36,50.46,44.7,0.01,56.23,NA,NA,50.46,44.7,0.01,100.0,11.06,89.05,100.0,100.0,0.0,96.71,22.33,85.61,88.35,80.0,0.0,89.75,85.71,100.0,NA,NA,96.35,92.7,0.51,100.0,17.56,67.65,92.7,85.4,0.97,100.0,30.66,91.93,100.0,100.0,1.0,NA,12.66,91.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.35,NA,NA,94.18,90.0,0.5,100.0,17.3,86.63,96.68,93.36,-0.17,93.34,35.99,91.93,86.37,79.4,-0.01
4.0,eez,Macquarie Island,100.0,9.27,87.49,96.49,92.98,0.01,100.0,NA,NA,97.62,95.23,-0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.0,13.04,91.3,98.55,97.09,0.22,NA,NA,77.75,NA,NA,NA,43.88,9.48,86.99,36.84,29.8,0.32,43.88,NA,NA,36.84,29.8,0.32,100.0,9.56,87.69,100.0,100.0,0.0,83.7,10.23,84.24,74.98,66.26,0.03,87.15,83.4,NA,NA,NA,NA,NA,NA,NA,NA,61.84,NA,NA,NA,100.0,10.31,91.3,100.0,100.0,0.0,NA,9.62,90.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.85,NA,NA,87.49,83.13,0.01,100.0,10.66,85.98,95.23,90.47,-0.13,NA,12.68,91.3,NA,NA,NA
5.0,eez,New Caledonia,69.96,17.32,72.54,64.54,59.11,0.0,91.45,NA,NA,89.33,87.2,-0.13,78.75,23.4,62.41,75.94,73.13,-0.08,82.29,23.09,62.37,77.65,73.0,0.0,99.48,40.61,62.96,91.79,84.09,0.16,99.39,18.42,73.49,92.31,85.22,-0.02,70.34,21.98,68.66,65.87,61.4,-0.01,64.09,NA,NA,60.23,56.37,-0.06,93.42,21.38,72.22,87.35,81.27,-0.03,73.67,22.73,72.32,68.01,62.35,0.03,85.49,80.18,99.7,NA,NA,96.15,92.61,0.48,100.0,18.85,58.21,100.0,100.0,0.99,85.07,28.84,62.99,66.39,47.72,1.0,14.91,17.3,63.11,15.83,16.75,-0.39,100.0,16.33,76.27,96.69,93.37,0.03,79.37,NA,NA,67.2,55.04,0.51,89.49,23.93,59.58,91.31,93.13,-0.23,89.77,33.07,62.96,82.33,74.88,0.15
6.0,eez,Vanuatu,49.79,26.22,63.16,47.11,44.43,0.0,92.84,NA,NA,92.49,92.14,-0.12,97.72,34.24,52.69,94.92,92.12,0.0,91.47,31.45,52.69,88.48,85.48,0.0,62.5,60.67,55.18,70.1,77.71,-0.27,100.0,33.8,64.54,100.0,100.0,0.42,60.66,30.01,62.97,57.28,53.9,0.02,60.66,NA,NA,57.28,53.9,0.02,100.0,30.34,66.51,95.66,91.31,0.0,65.92,30.28,66.02,62.46,59.0,0.0,70.98,70.89,100.0,NA,NA,100.0,100.0,0.7,100.0,38.83,50.93,100.0,100.0,0.97,13.12,35.52,59.73,12.64,12.15,0.0,0.01,23.17,64.56,0.02,0.03,-1.0,15.27,26.32,67.11,20.95,26.63,-0.84,39.52,NA,NA,37.55,35.57,0.0,85.68,31.51,55.77,89.32,92.96,-0.24,100.0,48.44,55.18,100.0,100.0,0.0
7.0,eez,Solomon Islands,46.89,37.16,59.75,45.14,43.39,0.01,85.58,NA,NA,85.33,85.09,-0.09,86.82,37.99,61.29,79.65,72.48,0.18,75.83,36.76,58.34,73.38,70.92,0.0,52.01,68.06,74.65,64.24,76.48,-0.51,100.0,37.05,57.17,100.0,100.0,0.03,86.26,42.04,59.07,84.43,82.6,-0.02,86.26,NA,NA,84.43,82.6,-0.02,88.17,36.05,65.68,82.88,77.59,0.06,65.64,37.66,64.95,62.82,60.0,0.01,63.62,63.18,100.0,NA,NA,100.0,100.0,0.52,100.0,38.75,42.95,100.0,100.0,1.0,9.87,41.51,73.52,9.4,8.93,0.0,0.0,27.97,74.65,0.0,0.0,-1.0,42.77,31.89,69.93,43.59,44.4,-0.24,37.76,NA,NA,36.11,34.46,0.0,82.98,41.87,59.53,87.79,92.59,-0.24,22.32,55.32,74.65,19.93,17.54,0.31
8.0,eez,Palau,62.21,39.2,67.37,59.45,56.68,0.01,83.67,NA,NA,87.27,90.87,-0.25,87.93,33.6,64.49,92.14,96.36,-0.28,43.32,33.57,64.36,65.14,86.95,-0.9,73.64,51.27,67.39,77.68,81.71,-0.23,100.0,32.63,64.15,100.0,100.0,0.0,94.32,44.6,63.99,92.26,90.2,-0.03,94.28,NA,NA,92.23,90.17,-0.03,83.24,33.63,70.04,85.74,88.25,-0.26,65.48,37.12,68.32,62.29,59.09,0.01,69.7,72.04,73.88,NA,NA,82.71,91.54,-0.35,47.76,34.7,48.11,65.42,83.08,-0.7,40.67,41.93,71.36,38.87,37.07,0.0,4.46,24.4,70.51,4.4,4.34,-0.19,24.94,29.07,71.03,25.89,26.83,-0.31,53.08,NA,NA,50.58,48.08,0.0,84.11,44.9,60.48,88.8,93.5,-0.23,100.0,44.28,67.39,87.37,74.74,0.46
9.0,eez,Micronesia,49.48,31.27,59.37,47.27,45.05,0.01,91.47,NA,NA,92.98,94.48,0.01,100.0,35.78,48.3,97.61,95.21,0.09,100.0,35.56,48.27,92.81,85.63,0.99,50.35,70.92,54.08,58.05,65.74,-0.27,43.93,28.99,63.07,48.36,52.79,-0.42,85.85,35.95,59.77,83.37,80.9,-0.03,85.85,NA,NA,83.37,80.9,-0.03,100.0,33.45,62.05,97.74,95.48,0.25,61.63,35.12,60.2,59.15,56.67,0.01,68.9,67.85,55.95,NA,NA,62.18,68.4,-0.39,67.97,30.81,47.31,75.99,84.02,-0.37,4.05,40.15,54.08,3.96,3.87,0.0,0.0,24.92,54.08,0.0,0.0,-1.0,25.8,27.83,59.37,26.7,27.61,-0.25,32.84,NA,NA,31.55,30.27,0.0,82.95,37.13,47.65,88.21,93.47,-0.22,97.27,56.14,54.08,86.01,74.74,0.46
