region_id,type,label,AO_future,AO_pressures,AO_resilience,AO_score,AO_status,AO_trend,BD_future,BD_pressures,BD_resilience,BD_score,BD_status,BD_trend,CP_future,CP_pressures,CP_resilience,CP_score,CP_status,CP_trend,CS_future,CS_pressures,CS_resilience,CS_score,CS_status,CS_trend,CW_future,CW_pressures,CW_resilience,CW_score,CW_status,CW_trend,ECO_future,ECO_pressures,ECO_resilience,ECO_score,ECO_status,ECO_trend,FIS_future,FIS_pressures,FIS_resilience,FIS_score,FIS_status,FIS_trend,FP_future,FP_pressures,FP_resilience,FP_score,FP_status,FP_trend,HAB_future,HAB_pressures,HAB_resilience,HAB_score,HAB_status,HAB_trend,ICO_future,ICO_pressures,ICO_resilience,ICO_score,ICO_status,ICO_trend,Index_future,Index_score,LE_future,LE_pressures,LE_resilience,LE_score,LE_status,LE_trend,LIV_future,LIV_pressures,LIV_resilience,LIV_score,LIV_status,LIV_trend,LSP_future,LSP_pressures,LSP_resilience,LSP_score,LSP_status,LSP_trend,MAR_future,MAR_pressures,MAR_resilience,MAR_score,MAR_status,MAR_trend,NP_future,NP_pressures,NP_resilience,NP_score,NP_status,NP_trend,SP_future,SP_pressures,SP_resilience,SP_score,SP_status,SP_trend,SPP_future,SPP_pressures,SPP_resilience,SPP_score,SPP_status,SPP_trend,TR_future,TR_pressures,TR_resilience,TR_score,TR_status,TR_trend
84.0,eez,Algeria,77.03,43.77,56.8,75.21,73.39,0.01,88.13,NA,NA,89.5,90.87,-0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.19,76.51,60.99,42.63,46.07,-0.15,100.0,49.46,50.75,100.0,100.0,0.05,53.28,54.33,56.79,51.84,50.4,0.07,53.07,NA,NA,51.64,50.21,0.08,95.4,50.53,60.45,93.27,91.14,0.02,63.1,55.16,61.15,62.66,62.22,-0.01,50.03,50.21,100.0,NA,NA,100.0,100.0,0.52,100.0,53.58,38.07,100.0,100.0,1.0,6.45,57.98,60.42,6.42,6.39,0.0,0.15,48.04,56.82,0.12,0.09,1.0,0.0,36.55,61.22,0.0,0.0,-1.0,34.77,NA,NA,34.54,34.31,0.0,80.87,57.49,53.38,85.73,90.59,-0.14,8.06,58.56,60.99,8.19,8.32,-0.06
85.0,eez,Ascension,100.0,13.91,77.57,96.62,93.24,0.02,100.0,NA,NA,99.0,98.0,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.05,45.11,87.52,86.79,81.52,-0.02,98.51,13.63,75.97,89.89,81.28,0.01,84.8,14.26,75.93,77.15,69.5,0.02,84.8,NA,NA,77.15,69.5,0.02,100.0,14.85,80.21,100.0,100.0,0.0,66.83,22.3,77.32,60.91,55.0,0.05,81.93,76.37,99.26,NA,NA,87.82,76.39,0.34,100.0,13.6,57.3,85.75,71.5,0.68,41.04,26.13,85.91,31.51,21.98,1.0,NA,12.59,84.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.93,NA,NA,46.21,38.49,0.52,100.0,17.29,71.98,98.0,96.0,-0.16,43.49,33.48,87.52,40.98,38.46,-0.07
86.0,eez,Saint Helena,100.0,14.57,75.25,96.62,93.24,0.02,100.0,NA,NA,99.0,97.99,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.92,41.72,87.52,88.46,84.0,-0.07,27.86,14.22,75.97,25.5,23.14,0.0,68.05,16.19,76.87,59.32,50.6,0.22,68.05,NA,NA,59.32,50.6,0.22,100.0,14.77,80.73,100.0,100.0,0.0,66.88,22.55,77.85,60.94,55.0,0.05,69.17,65.56,46.13,NA,NA,43.97,41.81,-0.06,64.41,14.08,57.3,62.44,60.47,-0.12,0.0,27.29,85.91,0.0,0.0,0.0,NA,12.82,84.33,NA,NA,NA,NA,14.21,76.84,NA,NA,NA,33.44,NA,NA,30.47,27.5,0.02,100.0,19.13,72.92,97.99,95.99,-0.16,43.64,32.32,87.52,41.05,38.46,-0.07
88.0,eez,Tristan da Cunha,100.0,12.1,75.06,96.62,93.24,0.02,100.0,NA,NA,98.5,96.99,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.24,40.81,87.52,88.2,82.17,-0.01,98.5,13.68,75.97,89.89,81.28,0.01,71.23,13.08,75.43,63.02,54.8,0.14,71.23,NA,NA,63.02,54.8,0.14,100.0,12.87,79.71,100.0,100.0,0.0,67.57,17.72,76.81,61.28,55.0,0.05,77.48,72.28,99.25,NA,NA,87.82,76.39,0.34,100.0,13.52,57.3,85.75,71.5,0.68,0.0,23.65,85.91,0.0,0.0,0.0,NA,12.34,84.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.78,NA,NA,30.64,27.5,0.02,100.0,16.83,71.98,96.99,93.98,-0.16,43.84,30.75,87.52,41.15,38.46,-0.07
89.0,eez,South Georgia and the South Sandwich Islands,99.65,14.64,82.05,90.47,81.28,0.01,100.0,NA,NA,97.18,94.35,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.0,18.05,84.85,98.89,97.78,-0.01,NA,15.13,72.65,NA,NA,NA,77.15,14.99,81.24,69.53,61.9,0.04,77.15,NA,NA,69.53,61.9,0.04,100.0,20.81,80.04,99.14,98.28,0.25,74.07,16.1,78.61,67.03,60.0,0.04,92.77,87.92,NA,NA,NA,NA,NA,NA,NA,14.6,36.98,NA,NA,NA,100.0,15.2,83.24,100.0,100.0,1.0,NA,14.59,81.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.03,NA,NA,83.52,80.0,0.52,100.0,16.27,78.69,95.21,90.42,-0.08,NA,17.85,84.85,NA,NA,NA
90.0,eez,Prince Edward Islands,89.21,24.12,72.71,82.89,76.57,0.01,95.91,NA,NA,94.98,94.05,-0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.42,43.97,52.12,84.78,89.14,-0.19,NA,28.54,54.25,NA,NA,NA,51.15,23.97,72.03,49.73,48.3,-0.15,51.15,NA,NA,49.73,48.3,-0.15,100.0,25.86,69.25,98.73,97.46,0.04,53.93,26.63,66.07,50.06,46.19,0.06,78.73,77.48,NA,NA,NA,NA,NA,NA,NA,29.41,53.76,NA,NA,NA,100.0,29.76,63.49,100.0,100.0,1.0,NA,31.63,57.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.97,NA,NA,75.03,73.1,0.53,91.83,26.0,63.4,91.23,90.64,-0.16,NA,39.2,52.12,NA,NA,NA
91.0,eez,Crozet Islands,98.89,15.39,79.96,90.08,81.28,0.01,95.4,NA,NA,92.79,90.18,-0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.87,24.34,83.32,96.58,95.29,-0.25,NA,NA,69.57,NA,NA,NA,56.87,15.34,70.37,54.59,52.3,-0.14,56.87,NA,NA,54.59,52.3,-0.14,NA,NA,NA,NA,NA,NA,56.9,17.42,71.71,51.31,45.71,0.1,85.5,81.94,NA,NA,NA,NA,NA,NA,NA,NA,44.61,NA,NA,NA,100.0,18.59,81.71,100.0,100.0,0.0,NA,16.13,80.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.45,NA,NA,75.65,72.86,0.05,95.4,17.35,67.87,92.79,90.18,-0.16,NA,22.56,83.32,NA,NA,NA
92.0,eez,Amsterdam Island and Saint Paul Island,98.84,16.18,80.58,90.06,81.28,0.01,99.66,NA,NA,97.49,95.32,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.72,40.65,83.32,90.75,84.78,0.0,NA,NA,69.57,NA,NA,NA,19.58,16.56,70.99,17.49,15.4,0.14,19.58,NA,NA,17.49,15.4,0.14,100.0,16.86,75.26,98.75,97.5,-0.01,56.73,19.26,72.39,51.22,45.71,0.1,78.63,74.28,NA,NA,NA,NA,NA,NA,NA,NA,44.61,NA,NA,NA,100.0,25.0,81.71,100.0,100.0,0.0,NA,17.0,80.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.36,NA,NA,75.61,72.86,0.05,99.31,19.37,67.75,96.23,93.14,-0.14,NA,34.31,83.32,NA,NA,NA
93.0,eez,Kerguelen Islands,98.69,15.37,79.21,89.99,81.28,0.01,99.06,NA,NA,97.5,95.93,-0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.0,20.03,83.32,98.78,97.56,-0.02,NA,NA,69.57,NA,NA,NA,54.35,15.36,70.71,46.28,38.2,0.36,54.35,NA,NA,46.28,38.2,0.36,100.0,15.59,74.96,100.0,100.0,0.0,57.02,17.03,72.09,51.37,45.71,0.1,86.12,81.64,NA,NA,NA,NA,NA,NA,NA,NA,44.61,NA,NA,NA,100.0,17.14,81.71,100.0,100.0,0.0,NA,16.34,80.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.51,NA,NA,75.68,72.86,0.05,98.12,17.13,67.79,94.99,91.86,-0.15,NA,20.45,83.32,NA,NA,NA
94.0,eez,Heard and McDonald Islands,100.0,9.27,87.96,90.64,81.28,0.01,100.0,NA,NA,97.89,95.78,-0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.0,9.94,91.19,99.71,99.43,0.0,NA,NA,82.38,NA,NA,NA,54.26,9.53,83.08,49.43,44.6,-0.04,54.26,NA,NA,49.43,44.6,-0.04,100.0,9.36,85.58,100.0,100.0,0.0,49.47,10.36,82.08,44.73,40.0,0.0,85.8,82.01,NA,NA,NA,NA,NA,NA,NA,NA,56.2,NA,NA,NA,100.0,9.58,91.19,100.0,100.0,0.0,NA,9.69,90.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.73,NA,NA,72.37,70.0,0.0,100.0,11.14,81.8,95.78,91.55,-0.13,NA,11.7,91.19,NA,NA,NA
95.0,eez,Falkland Islands,100.0,15.75,73.9,96.62,93.24,0.02,99.54,NA,NA,95.39,91.25,-0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.0,15.16,87.52,98.95,97.9,-0.03,19.48,13.95,75.97,17.83,16.17,0.0,82.62,18.14,76.15,77.06,71.5,-0.05,82.62,NA,NA,77.06,71.5,-0.05,100.0,17.37,79.81,95.63,91.27,0.07,74.13,14.1,76.93,67.06,60.0,0.04,71.05,69.46,30.17,NA,NA,40.52,50.88,-0.5,40.85,14.48,57.3,63.21,85.58,-0.99,0.0,13.25,85.91,0.0,0.0,0.0,0.0,12.68,84.33,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,37.06,NA,NA,33.53,30.0,0.02,99.08,18.06,73.39,95.15,91.23,-0.14,47.92,16.15,87.52,44.13,40.34,-0.07
96.0,eez,Sierra Leone,59.52,43.12,55.06,58.32,57.13,0.0,74.85,NA,NA,76.77,78.7,-0.06,31.2,53.38,48.25,31.47,31.74,0.0,32.31,52.26,48.01,32.54,32.77,0.0,38.46,80.14,57.36,45.45,52.45,-0.29,94.79,56.96,41.25,97.39,100.0,0.0,32.73,51.4,55.51,32.07,31.4,0.04,32.73,NA,NA,32.07,31.4,0.04,63.38,50.49,57.58,62.56,61.73,0.0,65.28,51.62,59.41,64.14,63.0,0.02,41.84,44.19,57.88,NA,NA,75.41,92.94,-0.5,20.97,56.96,30.94,53.42,85.88,-1.0,2.63,58.18,60.2,2.1,1.57,1.0,NA,45.32,52.15,NA,NA,NA,NA,38.69,58.87,NA,NA,NA,33.96,NA,NA,33.12,32.28,0.51,86.31,52.43,49.51,90.99,95.67,-0.13,15.65,63.77,57.36,12.57,9.49,1.0
97.0,eez,Liberia,43.17,43.54,52.11,42.55,41.93,0.0,77.88,NA,NA,79.42,80.96,-0.05,33.67,47.7,36.85,34.32,34.97,0.0,33.54,48.78,36.85,34.26,34.97,0.0,47.25,80.19,69.81,51.59,55.93,-0.18,100.0,42.64,42.61,100.0,100.0,0.07,21.85,50.58,52.74,21.52,21.2,0.04,21.85,NA,NA,21.52,21.2,0.04,68.32,48.75,56.17,67.1,65.89,0.02,68.35,52.0,59.63,67.51,66.67,0.0,48.04,47.77,100.0,NA,NA,100.0,100.0,0.53,100.0,45.28,36.32,100.0,100.0,1.0,0.0,55.83,61.85,0.0,0.0,0.0,NA,41.29,58.35,NA,NA,NA,NA,36.96,59.1,NA,NA,NA,34.17,NA,NA,33.75,33.33,0.0,87.43,50.83,49.21,91.73,96.04,-0.13,40.8,63.41,69.81,32.46,24.13,1.0
98.0,eez,Togo,43.21,48.97,52.33,42.92,42.62,0.0,81.86,NA,NA,84.83,87.8,-0.07,98.25,58.95,53.66,99.13,100.0,0.0,98.15,58.48,53.54,98.97,99.78,0.0,26.25,79.3,70.7,28.22,30.19,-0.15,98.44,54.5,43.8,99.22,100.0,0.03,34.64,57.69,53.13,34.77,34.9,0.01,34.64,NA,NA,34.77,34.9,0.01,79.26,57.48,57.25,79.46,79.67,-0.01,71.98,59.93,60.23,70.99,70.0,0.04,60.02,60.56,99.22,NA,NA,99.61,100.0,0.51,100.0,54.5,39.73,100.0,100.0,1.0,0.0,62.27,61.61,0.0,0.0,0.0,NA,44.69,58.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.99,NA,NA,35.49,35.0,0.02,84.46,59.29,49.14,90.2,95.94,-0.13,22.57,62.8,70.7,21.14,19.72,0.18
99.0,eez,Benin,45.61,42.3,56.5,44.48,43.35,0.01,87.06,NA,NA,88.56,90.05,-0.07,99.68,57.45,57.32,99.77,99.87,0.0,99.64,57.14,57.26,99.69,99.74,0.0,26.84,76.7,73.3,28.87,30.91,-0.18,100.0,47.85,47.26,100.0,100.0,0.02,39.41,49.68,56.85,37.7,36.0,0.11,39.41,NA,NA,37.7,36.0,0.11,85.67,55.25,61.14,84.92,84.16,0.0,71.37,56.32,63.46,70.13,68.89,0.02,56.1,57.01,59.08,NA,NA,66.7,74.32,-0.44,18.16,47.85,41.56,33.4,48.64,-0.9,0.0,59.89,66.48,0.0,0.0,0.0,NA,48.32,62.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.69,NA,NA,35.06,34.44,0.01,88.45,51.25,53.84,92.2,95.95,-0.13,11.87,60.3,73.3,12.21,12.56,-0.15
100.0,eez,Republique du Congo,57.58,43.72,62.41,55.74,53.9,0.01,82.18,NA,NA,86.07,89.95,-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5,80.05,44.95,49.26,56.03,-0.19,93.8,50.05,43.18,96.9,100.0,-0.06,37.16,51.45,54.54,37.73,38.3,-0.06,37.16,NA,NA,37.73,38.3,-0.06,81.58,49.31,55.2,83.68,85.79,-0.1,66.33,51.26,56.94,65.16,64.0,0.03,45.63,48.97,58.98,NA,NA,76.66,94.35,-0.52,24.16,56.61,35.57,56.43,88.7,-0.98,90.06,55.35,51.77,90.6,91.13,0.0,NA,36.09,44.95,NA,NA,NA,0.0,36.37,61.34,0.0,0.0,-1.0,78.19,NA,NA,77.88,77.57,0.01,82.79,51.95,44.76,88.45,94.12,-0.14,8.4,63.41,44.95,8.38,8.35,0.1
