region_id,type,label,AO_future,AO_pressures,AO_resilience,AO_score,AO_status,AO_trend,BD_future,BD_pressures,BD_resilience,BD_score,BD_status,BD_trend,CP_future,CP_pressures,CP_resilience,CP_score,CP_status,CP_trend,CS_future,CS_pressures,CS_resilience,CS_score,CS_status,CS_trend,CW_future,CW_pressures,CW_resilience,CW_score,CW_status,CW_trend,ECO_future,ECO_pressures,ECO_resilience,ECO_score,ECO_status,ECO_trend,FIS_future,FIS_pressures,FIS_resilience,FIS_score,FIS_status,FIS_trend,FP_future,FP_pressures,FP_resilience,FP_score,FP_status,FP_trend,HAB_future,HAB_pressures,HAB_resilience,HAB_score,HAB_status,HAB_trend,ICO_future,ICO_pressures,ICO_resilience,ICO_score,ICO_status,ICO_trend,Index_future,Index_score,LE_future,LE_pressures,LE_resilience,LE_score,LE_status,LE_trend,LIV_future,LIV_pressures,LIV_resilience,LIV_score,LIV_status,LIV_trend,LSP_future,LSP_pressures,LSP_resilience,LSP_score,LSP_status,LSP_trend,MAR_future,MAR_pressures,MAR_resilience,MAR_score,MAR_status,MAR_trend,NP_future,NP_pressures,NP_resilience,NP_score,NP_status,NP_trend,SP_future,SP_pressures,SP_resilience,SP_score,SP_status,SP_trend,SPP_future,SPP_pressures,SPP_resilience,SPP_score,SPP_status,SPP_trend,TR_future,TR_pressures,TR_resilience,TR_score,TR_status,TR_trend
0.0,global,GLOBAL,81.27,NA,NA,77.34,73.4,NA,92.03,NA,NA,91.24,90.45,NA,89.86,NA,NA,87.68,85.49,NA,80.04,NA,NA,79.23,78.42,NA,73.96,NA,NA,73.61,73.26,NA,87.93,NA,NA,87.79,87.65,NA,56.65,NA,NA,53.8,50.96,NA,56.76,NA,NA,53.94,51.11,NA,93.17,NA,NA,90.64,88.11,NA,72.12,NA,NA,67.44,62.75,NA,73.13,71.14,82.2,NA,NA,82.33,82.46,NA,76.47,NA,NA,76.87,77.28,NA,59.92,NA,NA,57.78,55.63,NA,35.47,NA,NA,33.68,31.9,NA,59.67,NA,NA,56.66,53.64,NA,66.02,NA,NA,62.61,59.19,NA,90.85,NA,NA,91.81,92.78,NA,47.06,NA,NA,45.26,43.45,NA
1.0,eez,Cocos Islands,100.0,10.75,78.24,96.58,93.15,0.01,100.0,NA,NA,97.5,95.01,-0.07,100.0,17.32,79.29,97.62,95.24,0.07,100.0,16.94,79.29,92.76,85.51,NA,94.04,34.94,91.79,88.56,83.09,-0.08,100.0,15.29,80.01,100.0,100.0,0.05,69.02,12.82,79.23,60.66,52.3,0.15,69.02,NA,NA,60.66,52.3,0.15,100.0,14.49,84.24,97.59,95.17,0.03,83.84,16.79,80.49,75.25,66.67,0.07,85.2,80.7,100.0,NA,NA,96.35,92.69,0.51,100.0,16.08,67.51,92.69,85.39,0.97,0.0,24.46,91.79,0.0,0.0,0.0,NA,10.94,91.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.92,NA,NA,37.63,33.33,0.04,100.0,16.73,77.13,97.42,94.85,-0.18,61.8,25.86,91.79,58.66,55.52,-0.16
2.0,eez,Christmas Island,100.0,11.36,83.61,96.58,93.15,0.01,100.0,NA,NA,97.01,94.01,-0.08,100.0,21.83,85.78,93.12,86.25,0.07,100.0,19.59,85.78,92.76,85.51,NA,86.1,48.3,91.79,81.32,76.54,-0.03,100.0,15.96,80.01,100.0,100.0,0.05,81.02,12.46,79.16,71.01,61.0,0.16,81.02,NA,NA,71.01,61.0,0.16,100.0,17.61,85.82,96.73,93.47,0.03,64.07,19.4,80.42,58.7,53.33,0.0,87.86,82.67,100.0,NA,NA,96.35,92.69,0.51,100.0,17.08,67.51,92.69,85.39,0.97,63.12,26.28,91.79,57.51,51.9,0.0,NA,12.01,91.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.6,NA,NA,58.11,52.62,0.0,100.0,16.6,77.13,97.28,94.56,-0.18,60.0,35.72,91.79,57.76,55.52,-0.16
3.0,eez,Norfolk Island,100.0,12.3,88.81,96.58,93.15,0.01,100.0,NA,NA,98.34,96.68,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.25,49.75,91.79,77.75,75.25,-0.11,100.0,15.88,80.01,100.0,100.0,0.05,40.14,12.01,88.23,37.87,35.6,-0.19,40.14,NA,NA,37.87,35.6,-0.19,100.0,11.26,88.92,100.0,100.0,0.0,96.6,22.61,85.48,88.3,80.0,0.0,85.19,82.23,100.0,NA,NA,96.35,92.69,0.51,100.0,17.16,67.51,92.69,85.39,0.97,100.0,30.54,91.79,100.0,100.0,1.0,NA,12.27,91.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,NA,NA,94.15,90.0,0.5,100.0,17.72,86.5,96.68,93.36,-0.17,77.64,34.43,91.79,74.6,71.56,-0.16
4.0,eez,Macquarie Island,100.0,9.62,87.23,96.58,93.15,0.01,100.0,NA,NA,97.62,95.23,-0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.0,13.23,91.04,98.57,97.14,0.21,NA,NA,77.47,NA,NA,NA,38.05,9.87,86.73,33.42,28.8,0.1,38.05,NA,NA,33.42,28.8,0.1,100.0,9.91,87.42,100.0,100.0,0.0,83.48,10.51,83.98,74.87,66.26,0.03,85.96,82.72,NA,NA,NA,NA,NA,NA,NA,NA,61.65,NA,NA,NA,100.0,10.72,91.04,100.0,100.0,0.0,NA,10.15,90.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.74,NA,NA,87.44,83.13,0.01,100.0,10.97,85.72,95.23,90.47,-0.13,NA,13.93,91.04,NA,NA,NA
5.0,eez,New Caledonia,70.14,17.38,72.48,64.68,59.21,0.0,91.32,NA,NA,89.26,87.2,-0.13,78.28,25.31,62.36,75.71,73.13,-0.08,82.24,23.58,62.31,77.62,73.0,0.0,94.77,40.68,62.9,89.43,84.09,0.08,99.34,18.51,73.4,92.28,85.22,-0.02,71.13,22.06,68.6,66.57,62.0,-0.01,65.04,NA,NA,61.0,56.96,-0.04,93.23,22.13,72.17,87.25,81.27,-0.03,73.64,22.99,72.26,68.0,62.35,0.03,81.88,78.25,99.67,NA,NA,96.14,92.61,0.48,100.0,18.86,58.14,100.0,100.0,0.99,53.09,28.84,62.93,50.4,47.72,0.0,17.56,17.18,63.06,17.65,17.74,-0.24,100.0,16.73,76.22,97.25,94.51,0.02,63.36,NA,NA,59.2,55.04,0.01,89.4,24.19,59.53,91.26,93.13,-0.23,73.98,32.55,62.9,72.23,70.47,-0.08
6.0,eez,Vanuatu,49.73,26.38,63.23,47.08,44.42,0.0,92.8,NA,NA,92.47,92.14,-0.12,98.0,33.42,52.76,95.06,92.12,0.0,91.64,30.91,52.76,88.56,85.48,0.0,59.57,60.86,55.25,68.58,77.59,-0.32,100.0,33.19,64.62,100.0,100.0,0.42,62.62,30.27,63.04,59.01,55.4,0.03,62.62,NA,NA,59.01,55.4,0.03,100.0,30.4,66.58,95.66,91.31,0.0,65.81,30.49,66.09,62.4,59.0,0.0,71.14,71.04,100.0,NA,NA,100.0,100.0,0.7,100.0,37.83,50.98,100.0,100.0,0.97,13.14,35.18,59.8,12.64,12.15,0.0,0.06,22.51,64.63,0.06,0.07,-0.52,17.57,26.84,67.18,22.1,26.63,-0.71,39.47,NA,NA,37.52,35.57,0.0,85.59,31.85,55.84,89.28,92.96,-0.24,100.0,46.21,55.25,100.0,100.0,0.0
7.0,eez,Solomon Islands,46.9,37.83,59.62,45.16,43.42,0.01,85.19,NA,NA,84.95,84.72,-0.09,86.89,37.55,61.15,79.69,72.48,0.18,75.86,36.58,58.21,73.39,70.92,0.0,51.88,68.28,74.52,64.15,76.42,-0.51,100.0,37.04,56.98,100.0,100.0,0.03,85.63,42.96,58.93,84.07,82.5,-0.02,85.63,NA,NA,84.07,82.5,-0.02,87.71,36.27,65.55,82.28,76.84,0.07,65.69,38.01,64.82,62.85,60.0,0.01,66.56,65.23,100.0,NA,NA,100.0,100.0,0.52,100.0,38.69,42.81,100.0,100.0,1.0,9.87,41.48,73.38,9.4,8.93,0.0,0.0,27.71,74.52,0.0,0.0,-1.0,79.15,32.15,69.8,70.13,61.1,0.26,37.78,NA,NA,36.12,34.46,0.0,82.67,42.76,59.4,87.63,92.59,-0.24,16.27,54.22,74.52,14.59,12.92,0.29
8.0,eez,Palau,62.35,39.3,67.42,59.27,56.18,0.03,82.82,NA,NA,86.7,90.59,-0.25,87.18,36.03,64.54,91.77,96.36,-0.28,43.01,34.73,64.41,64.98,86.95,-0.9,69.5,51.26,67.44,75.6,81.69,-0.3,100.0,32.72,64.2,100.0,100.0,0.0,93.02,44.78,64.04,91.21,89.4,-0.03,92.98,NA,NA,91.17,89.36,-0.03,81.66,34.54,70.09,84.67,87.68,-0.28,65.64,37.3,68.37,62.37,59.09,0.01,65.5,69.58,73.88,NA,NA,82.71,91.54,-0.35,47.75,34.76,48.15,65.42,83.08,-0.7,40.67,41.99,71.41,38.87,37.07,0.0,3.13,24.54,70.56,3.45,3.77,-0.48,18.89,30.44,71.08,22.43,25.97,-0.61,53.16,NA,NA,50.62,48.08,0.01,83.98,45.37,60.53,88.74,93.5,-0.23,71.26,44.75,67.44,70.51,69.76,-0.08
9.0,eez,Micronesia,49.31,30.45,59.63,47.1,44.9,0.0,91.64,NA,NA,93.06,94.48,0.01,100.0,35.55,48.56,97.61,95.21,0.09,100.0,35.28,48.53,92.81,85.63,0.99,46.45,70.66,54.34,56.08,65.7,-0.36,44.1,28.39,63.41,48.44,52.79,-0.42,85.76,34.82,60.03,83.13,80.5,-0.03,85.76,NA,NA,83.13,80.5,-0.03,100.0,33.04,62.31,97.74,95.48,0.24,61.94,34.68,60.46,59.3,56.67,0.01,66.24,66.42,56.17,NA,NA,62.29,68.4,-0.39,68.25,30.04,47.55,76.13,84.02,-0.37,4.05,39.86,54.34,3.96,3.87,0.0,0.0,24.62,54.34,0.0,0.0,-1.0,34.33,27.7,59.63,32.77,31.2,-0.01,33.0,NA,NA,31.63,30.27,0.01,83.28,36.31,47.91,88.38,93.47,-0.22,65.76,55.56,54.34,67.76,69.76,-0.08
