region_id,type,label,AO_future,AO_pressures,AO_resilience,AO_score,AO_status,AO_trend,BD_future,BD_pressures,BD_resilience,BD_score,BD_status,BD_trend,CP_future,CP_pressures,CP_resilience,CP_score,CP_status,CP_trend,CS_future,CS_pressures,CS_resilience,CS_score,CS_status,CS_trend,CW_future,CW_pressures,CW_resilience,CW_score,CW_status,CW_trend,ECO_future,ECO_pressures,ECO_resilience,ECO_score,ECO_status,ECO_trend,FIS_future,FIS_pressures,FIS_resilience,FIS_score,FIS_status,FIS_trend,FP_future,FP_pressures,FP_resilience,FP_score,FP_status,FP_trend,HAB_future,HAB_pressures,HAB_resilience,HAB_score,HAB_status,HAB_trend,ICO_future,ICO_pressures,ICO_resilience,ICO_score,ICO_status,ICO_trend,Index_future,Index_score,LE_future,LE_pressures,LE_resilience,LE_score,LE_status,LE_trend,LIV_future,LIV_pressures,LIV_resilience,LIV_score,LIV_status,LIV_trend,LSP_future,LSP_pressures,LSP_resilience,LSP_score,LSP_status,LSP_trend,MAR_future,MAR_pressures,MAR_resilience,MAR_score,MAR_status,MAR_trend,NP_future,NP_pressures,NP_resilience,NP_score,NP_status,NP_trend,SP_future,SP_pressures,SP_resilience,SP_score,SP_status,SP_trend,SPP_future,SPP_pressures,SPP_resilience,SPP_score,SPP_status,SPP_trend,TR_future,TR_pressures,TR_resilience,TR_score,TR_status,TR_trend
0.0,global,GLOBAL,80.52,NA,NA,76.76,72.99,NA,91.44,NA,NA,90.93,90.43,NA,90.32,NA,NA,87.84,85.35,NA,80.07,NA,NA,79.25,78.42,NA,74.91,NA,NA,74.15,73.38,NA,80.9,NA,NA,81.34,81.78,NA,56.04,NA,NA,53.54,51.03,NA,56.07,NA,NA,53.57,51.07,NA,92.15,NA,NA,90.11,88.06,NA,70.64,NA,NA,66.21,61.78,NA,73.31,71.18,77.9,NA,NA,78.79,79.67,NA,74.91,NA,NA,76.23,77.56,NA,58.92,NA,NA,56.1,53.27,NA,32.65,NA,NA,30.12,27.59,NA,62.71,NA,NA,59.11,55.51,NA,64.78,NA,NA,61.15,57.52,NA,90.69,NA,NA,91.74,92.78,NA,53.26,NA,NA,49.92,46.58,NA
1.0,eez,Cocos Islands,100.0,10.86,78.2,96.27,92.55,0.0,100.0,NA,NA,97.5,95.01,-0.06,100.0,15.82,79.26,97.62,95.24,0.07,100.0,16.63,79.26,92.76,85.51,NA,94.02,34.97,91.76,88.56,83.09,-0.08,100.0,15.59,79.58,99.71,99.43,0.03,62.31,12.92,79.2,55.11,47.9,0.12,62.31,NA,NA,55.11,47.9,0.12,100.0,13.39,84.21,97.59,95.17,0.07,83.62,16.7,80.46,75.14,66.67,0.07,86.56,81.41,100.0,NA,NA,94.32,88.64,0.5,100.0,16.55,67.19,88.93,77.86,0.96,0.0,24.86,91.76,0.0,0.0,0.0,NA,11.38,91.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.81,NA,NA,37.57,33.33,0.03,100.0,16.65,77.1,97.42,94.85,-0.18,80.91,27.19,91.76,73.0,65.08,0.04
2.0,eez,Christmas Island,100.0,11.5,83.58,96.27,92.55,0.0,100.0,NA,NA,96.95,93.91,-0.06,100.0,20.81,85.75,93.12,86.25,0.07,100.0,18.73,85.75,92.76,85.51,NA,86.08,48.33,91.76,81.31,76.54,-0.03,100.0,16.17,79.58,99.71,99.43,0.03,71.44,12.62,79.13,63.52,55.6,0.1,71.44,NA,NA,63.52,55.6,0.1,100.0,15.82,85.79,96.63,93.25,0.07,63.02,19.21,80.39,58.18,53.33,-0.03,88.82,83.12,100.0,NA,NA,94.32,88.64,0.5,100.0,17.46,67.19,88.93,77.86,0.96,63.06,26.61,91.76,57.48,51.9,0.0,NA,12.35,91.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.04,NA,NA,57.83,52.62,-0.02,100.0,16.51,77.09,97.28,94.56,-0.18,78.86,36.73,91.76,71.97,65.08,0.04
3.0,eez,Norfolk Island,100.0,12.26,80.95,96.27,92.55,0.0,100.0,NA,NA,98.34,96.68,-0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.23,49.78,91.76,77.74,75.25,-0.11,100.0,15.94,79.58,99.71,99.43,0.03,54.04,11.94,78.84,48.97,43.9,0.02,54.04,NA,NA,48.97,43.9,0.02,100.0,11.22,83.69,100.0,100.0,NA,95.22,22.45,80.1,87.61,80.0,0.0,85.26,80.72,100.0,NA,NA,94.32,88.64,0.5,100.0,17.29,67.19,88.93,77.86,0.96,29.83,30.6,91.76,27.33,24.82,0.0,NA,12.41,91.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.53,NA,NA,57.47,52.41,0.0,100.0,17.44,77.11,96.68,93.36,-0.17,100.0,34.84,91.76,91.95,83.89,0.04
4.0,eez,Macquarie Island,100.0,9.61,87.16,96.27,92.55,0.0,100.0,NA,NA,97.62,95.23,-0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.0,13.68,90.97,98.44,96.89,0.16,NA,NA,76.82,NA,NA,NA,49.33,9.8,86.66,39.37,29.4,0.63,49.33,NA,NA,39.37,29.4,0.63,100.0,9.94,87.36,100.0,100.0,NA,82.72,10.56,83.92,74.34,65.96,0.02,88.14,83.77,NA,NA,NA,NA,NA,NA,NA,NA,61.22,NA,NA,NA,100.0,10.88,90.97,100.0,100.0,0.0,NA,10.5,90.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.36,NA,NA,87.17,82.98,0.01,100.0,10.86,85.66,95.23,90.47,-0.13,NA,14.25,90.97,NA,NA,NA
5.0,eez,New Caledonia,69.91,17.27,72.57,64.48,59.06,0.0,91.26,NA,NA,89.23,87.2,-0.14,79.73,19.37,62.44,76.43,73.13,-0.08,82.65,21.42,62.4,77.83,73.0,0.0,100.0,40.49,62.99,92.07,84.14,0.22,96.89,18.15,73.13,89.98,83.07,-0.02,71.48,21.94,68.68,66.69,61.9,0.0,65.92,NA,NA,61.72,57.53,-0.04,92.99,20.11,72.25,87.13,81.27,-0.04,71.92,22.59,72.35,66.55,61.18,0.02,86.64,80.99,98.44,NA,NA,94.99,91.54,0.48,100.0,18.53,57.93,100.0,100.0,0.99,85.15,28.36,63.02,66.43,47.72,1.0,15.43,16.41,63.14,16.62,17.82,-0.43,100.0,16.15,76.3,95.84,91.67,0.24,78.53,NA,NA,66.49,54.45,0.51,89.53,23.83,59.61,91.33,93.13,-0.23,100.0,30.46,62.99,90.78,81.56,0.3
6.0,eez,Vanuatu,49.97,26.08,63.28,47.21,44.45,0.0,92.89,NA,NA,92.51,92.14,-0.12,98.32,32.41,52.81,95.22,92.12,0.0,91.77,30.53,52.81,88.62,85.48,0.0,61.46,60.43,55.3,69.61,77.77,-0.29,100.0,33.39,64.3,100.0,100.0,0.51,60.82,29.88,63.09,57.41,54.0,0.02,60.82,NA,NA,57.41,54.0,0.02,100.0,29.57,66.63,95.66,91.31,0.0,65.72,30.02,66.14,62.36,59.0,-0.01,71.1,70.96,100.0,NA,NA,100.0,100.0,0.73,100.0,38.34,50.74,100.0,100.0,0.96,13.14,35.24,59.85,12.64,12.15,0.0,0.0,22.84,64.68,0.0,0.0,-1.0,16.38,25.57,67.23,21.51,26.63,-0.78,39.43,NA,NA,37.5,35.57,0.0,85.77,31.32,55.89,89.37,92.96,-0.24,100.0,47.56,55.3,100.0,100.0,0.0
7.0,eez,Solomon Islands,46.65,37.48,59.56,45.0,43.34,0.01,86.23,NA,NA,85.52,84.8,-0.07,86.55,38.92,61.1,79.52,72.48,0.18,75.63,37.43,58.15,73.27,70.92,0.0,51.97,68.16,74.47,64.25,76.53,-0.51,100.0,37.72,56.52,100.0,100.0,-0.02,86.86,42.44,58.88,85.18,83.5,-0.02,86.86,NA,NA,85.18,83.5,-0.02,89.66,36.53,65.5,83.33,77.01,0.1,63.57,37.72,64.76,61.07,58.57,-0.01,62.23,62.13,100.0,NA,NA,100.0,100.0,0.49,100.0,39.57,42.46,100.0,100.0,1.0,9.85,41.94,73.33,9.39,8.93,0.0,0.0,28.73,74.47,0.0,0.0,-1.0,34.31,31.89,69.74,36.49,38.67,-0.35,36.71,NA,NA,35.23,33.75,0.0,82.81,42.25,59.34,87.7,92.59,-0.24,17.35,57.26,74.47,16.85,16.35,0.01
8.0,eez,Palau,60.22,39.0,67.4,58.26,56.31,-0.04,81.56,NA,NA,86.38,91.2,-0.29,88.05,33.26,64.52,92.2,96.36,-0.28,43.46,33.11,64.39,65.21,86.95,-0.9,70.9,51.24,67.42,76.31,81.71,-0.28,96.9,32.49,63.79,92.35,87.8,0.0,94.99,44.3,64.02,93.04,91.1,-0.03,94.95,NA,NA,93.01,91.06,-0.03,78.91,33.34,70.07,83.91,88.91,-0.35,62.91,36.98,68.35,60.09,57.27,-0.01,70.26,72.89,63.98,NA,NA,74.71,85.44,-0.5,31.06,34.56,47.84,57.07,83.08,-1.0,40.68,41.87,71.39,38.88,37.07,0.0,9.86,24.35,70.54,7.99,6.11,0.69,47.72,28.92,71.06,42.64,37.56,0.2,51.8,NA,NA,49.48,47.17,0.0,84.2,44.62,60.51,88.85,93.5,-0.23,100.0,44.14,67.42,90.67,81.34,0.78
9.0,eez,Micronesia,49.45,31.04,59.61,47.24,45.03,0.01,91.54,NA,NA,93.01,94.48,0.05,100.0,34.99,48.54,97.61,95.21,0.09,100.0,34.97,48.5,92.81,85.63,0.99,53.68,70.69,54.31,59.72,65.76,-0.19,36.98,28.73,62.98,45.95,54.92,-0.66,86.24,35.71,60.0,83.87,81.5,-0.03,86.24,NA,NA,83.87,81.5,-0.03,100.0,33.05,62.29,97.74,95.48,0.32,59.38,34.83,60.43,57.19,55.0,-0.01,68.79,68.01,49.98,NA,NA,59.76,69.54,-0.56,62.99,30.58,47.24,73.57,84.16,-0.46,4.05,39.86,54.31,3.96,3.87,0.0,0.0,24.57,54.31,0.0,0.0,-1.0,25.32,27.43,59.6,24.87,24.42,-0.1,31.72,NA,NA,30.58,29.43,0.0,83.08,36.93,47.88,88.28,93.47,-0.22,100.0,55.59,54.31,90.67,81.34,0.78
10.0,eez,Nauru,50.29,37.76,58.63,48.83,47.36,-0.01,83.6,NA,NA,85.21,86.82,-0.21,99.61,37.32,47.38,98.01,96.41,NA,NA,NA,NA,NA,NA,NA,48.37,71.37,53.63,51.39,54.42,-0.08,52.24,34.02,62.08,58.2,64.16,-0.42,96.86,43.92,59.48,95.78,94.7,-0.04,96.86,NA,NA,95.78,94.7,-0.04,85.69,39.3,61.56,82.75,79.82,NA,73.43,43.51,59.88,71.71,70.0,-0.01,66.84,66.5,57.89,NA,NA,66.03,74.16,-0.44,63.54,36.3,54.96,73.85,84.16,-0.46,0.0,45.11,53.63,0.0,0.0,0.0,0.04,22.89,53.63,0.05,0.05,-0.34,NA,NA,NA,NA,NA,NA,36.71,NA,NA,35.86,35.0,0.0,81.51,45.32,47.28,87.66,93.81,-0.21,61.41,53.76,53.63,50.91,40.42,0.78
11.0,eez,Marshall Islands,57.35,30.18,61.25,54.69,52.02,0.0,91.24,NA,NA,92.32,93.39,-0.22,100.0,35.91,50.69,97.85,95.7,NA,89.41,36.89,50.69,87.46,85.51,NA,65.31,69.66,52.58,68.9,72.49,-0.06,23.94,28.99,60.67,39.15,54.37,-0.99,69.77,33.28,58.43,67.74,65.7,-0.03,69.77,NA,NA,67.74,65.7,-0.03,100.0,33.16,61.77,96.99,93.97,NA,67.0,35.63,58.72,64.75,62.5,-0.01,76.89,76.24,44.16,NA,NA,56.71,69.26,-0.72,64.37,32.26,53.9,74.27,84.16,-0.46,36.36,40.55,52.58,35.63,34.9,0.0,NA,24.83,52.58,NA,NA,NA,100.0,26.6,60.21,95.88,91.75,1.0,51.68,NA,NA,50.19,48.7,0.0,82.48,35.64,46.48,87.65,92.81,-0.22,100.0,54.19,52.58,90.67,81.34,0.78
12.0,eez,Wake Island,100.0,18.62,71.67,93.49,86.97,0.0,87.89,NA,NA,85.78,83.68,-0.14,78.44,32.53,49.39,76.37,74.3,NA,NA,NA,NA,NA,NA,NA,61.26,61.5,37.28,64.37,67.48,-0.02,55.96,23.27,68.91,60.06,64.16,-0.42,22.1,18.73,72.21,20.55,19.0,-0.02,22.1,NA,NA,20.55,19.0,-0.02,82.44,32.08,65.29,78.37,74.3,NA,59.11,27.03,66.0,56.22,53.33,-0.03,70.14,69.52,61.75,NA,NA,67.95,74.16,-0.44,67.54,24.1,57.14,75.85,84.16,-0.46,100.0,31.03,38.62,100.0,100.0,1.0,NA,20.63,38.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.55,NA,NA,78.11,76.67,0.48,93.33,22.26,51.01,93.2,93.06,-0.14,NA,44.39,37.28,NA,NA,NA
