region_id,type,label,AO_future,AO_pressures,AO_resilience,AO_score,AO_status,AO_trend,BD_future,BD_pressures,BD_resilience,BD_score,BD_status,BD_trend,CP_future,CP_pressures,CP_resilience,CP_score,CP_status,CP_trend,CS_future,CS_pressures,CS_resilience,CS_score,CS_status,CS_trend,CW_future,CW_pressures,CW_resilience,CW_score,CW_status,CW_trend,ECO_future,ECO_pressures,ECO_resilience,ECO_score,ECO_status,ECO_trend,FIS_future,FIS_pressures,FIS_resilience,FIS_score,FIS_status,FIS_trend,FP_future,FP_pressures,FP_resilience,FP_score,FP_status,FP_trend,HAB_future,HAB_pressures,HAB_resilience,HAB_score,HAB_status,HAB_trend,ICO_future,ICO_pressures,ICO_resilience,ICO_score,ICO_status,ICO_trend,Index_future,Index_score,LE_future,LE_pressures,LE_resilience,LE_score,LE_status,LE_trend,LIV_future,LIV_pressures,LIV_resilience,LIV_score,LIV_status,LIV_trend,LSP_future,LSP_pressures,LSP_resilience,LSP_score,LSP_status,LSP_trend,MAR_future,MAR_pressures,MAR_resilience,MAR_score,MAR_status,MAR_trend,NP_future,NP_pressures,NP_resilience,NP_score,NP_status,NP_trend,SP_future,SP_pressures,SP_resilience,SP_score,SP_status,SP_trend,SPP_future,SPP_pressures,SPP_resilience,SPP_score,SPP_status,SPP_trend,TR_future,TR_pressures,TR_resilience,TR_score,TR_status,TR_trend
0.0,global,GLOBAL,81.25,NA,NA,77.39,73.53,NA,91.99,NA,NA,91.22,90.44,NA,89.72,NA,NA,87.62,85.53,NA,80.05,NA,NA,79.24,78.42,NA,73.56,NA,NA,73.51,73.47,NA,87.94,NA,NA,87.79,87.65,NA,55.96,NA,NA,53.22,50.48,NA,55.9,NA,NA,53.2,50.5,NA,93.05,NA,NA,90.57,88.1,NA,72.49,NA,NA,67.8,63.11,NA,72.9,71.1,82.19,NA,NA,82.33,82.46,NA,76.45,NA,NA,76.86,77.28,NA,60.61,NA,NA,58.51,56.41,NA,34.07,NA,NA,32.8,31.53,NA,55.6,NA,NA,53.25,50.91,NA,66.55,NA,NA,63.15,59.76,NA,90.89,NA,NA,91.84,92.78,NA,49.27,NA,NA,48.12,46.98,NA
1.0,eez,Cocos Islands,100.0,10.92,78.03,96.72,93.44,0.02,100.0,NA,NA,97.5,95.01,-0.07,100.0,21.04,79.09,97.62,95.24,0.07,100.0,18.66,79.09,92.76,85.51,NA,93.93,35.14,91.59,88.51,83.09,-0.08,100.0,16.09,79.95,100.0,100.0,0.05,65.45,13.0,79.03,57.97,50.5,0.12,65.45,NA,NA,57.97,50.5,0.12,100.0,16.01,84.04,97.59,95.17,0.03,82.99,17.02,80.29,74.83,66.67,0.05,86.03,81.86,100.0,NA,NA,96.35,92.69,0.51,100.0,17.0,67.47,92.69,85.39,0.97,0.0,24.92,91.59,0.0,0.0,0.0,NA,11.83,91.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5,NA,NA,37.42,33.33,0.03,100.0,16.96,76.92,97.42,94.85,-0.18,73.42,28.27,91.59,71.92,70.41,-0.25
2.0,eez,Christmas Island,100.0,11.6,83.41,96.72,93.44,0.02,100.0,NA,NA,96.96,93.92,-0.08,100.0,22.62,85.58,93.12,86.25,0.07,100.0,20.08,85.58,92.76,85.51,NA,86.0,48.5,91.59,81.27,76.54,-0.03,100.0,16.29,79.95,100.0,100.0,0.05,76.14,12.76,78.96,67.37,58.6,0.12,76.14,NA,NA,67.37,58.6,0.12,100.0,18.13,85.62,96.64,93.28,0.03,64.0,19.59,80.22,58.67,53.33,0.0,88.58,83.73,100.0,NA,NA,96.35,92.69,0.51,100.0,17.43,67.47,92.69,85.39,0.97,63.06,26.46,91.59,57.48,51.9,0.0,NA,12.33,91.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.53,NA,NA,58.07,52.62,0.0,100.0,16.89,76.92,97.28,94.56,-0.18,71.55,36.3,91.59,70.98,70.41,-0.25
3.0,eez,Norfolk Island,100.0,12.48,88.61,96.72,93.44,0.02,100.0,NA,NA,98.34,96.68,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.15,49.95,91.59,77.7,75.25,-0.11,100.0,16.09,79.95,100.0,100.0,0.05,32.97,12.17,88.03,32.73,32.5,-0.35,32.97,NA,NA,32.73,32.5,-0.35,100.0,11.43,88.72,100.0,100.0,0.0,96.47,22.88,85.27,88.24,80.0,0.0,83.33,81.02,100.0,NA,NA,96.35,92.69,0.51,100.0,17.35,67.47,92.69,85.39,0.97,100.0,30.75,91.59,100.0,100.0,1.0,NA,12.46,91.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.24,NA,NA,94.12,90.0,0.5,100.0,17.88,86.3,96.68,93.36,-0.17,71.94,34.62,91.59,71.18,70.41,-0.25
4.0,eez,Macquarie Island,100.0,10.13,86.82,96.72,93.44,0.02,100.0,NA,NA,97.62,95.23,-0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.4,14.62,90.63,97.45,96.49,-0.34,NA,NA,77.38,NA,NA,NA,38.53,10.38,86.32,34.26,30.0,0.05,38.53,NA,NA,34.26,30.0,0.05,100.0,10.54,87.02,100.0,100.0,0.0,83.26,11.08,83.58,74.83,66.4,0.02,85.71,82.69,NA,NA,NA,NA,NA,NA,NA,NA,61.59,NA,NA,NA,100.0,11.67,90.63,100.0,100.0,0.0,NA,11.86,90.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.63,NA,NA,87.41,83.2,0.01,100.0,11.32,85.31,95.23,90.47,-0.13,NA,16.88,90.63,NA,NA,NA
5.0,eez,New Caledonia,70.98,17.37,75.49,65.17,59.35,0.01,92.96,NA,NA,90.08,87.2,-0.13,78.83,26.71,66.02,75.98,73.13,-0.08,83.1,24.0,66.31,78.05,73.0,0.0,87.28,40.74,62.88,85.68,84.07,-0.05,99.38,18.55,73.59,92.3,85.22,-0.02,75.73,22.02,77.75,69.51,63.3,0.02,68.75,NA,NA,63.22,57.69,0.0,93.73,22.64,74.56,87.5,81.27,-0.03,75.42,23.13,77.48,69.18,62.94,0.03,86.93,83.18,99.69,NA,NA,96.15,92.61,0.48,100.0,18.85,58.28,100.0,100.0,0.99,100.0,28.87,62.91,88.38,76.76,0.61,17.92,17.19,63.04,17.36,16.79,-0.13,100.0,16.98,78.5,99.98,99.95,0.1,87.71,NA,NA,78.78,69.85,0.32,92.18,24.28,68.68,92.65,93.13,-0.23,100.0,32.46,62.88,98.75,97.5,-0.06
6.0,eez,Vanuatu,49.78,26.42,63.39,47.1,44.42,0.0,92.62,NA,NA,92.38,92.14,-0.12,97.73,34.44,52.92,94.92,92.12,0.0,91.59,31.26,52.92,88.54,85.48,0.0,59.39,60.93,55.41,68.43,77.47,-0.32,100.0,33.74,65.05,100.0,100.0,0.42,66.25,32.3,63.23,61.93,57.6,0.07,66.21,NA,NA,61.88,57.56,0.07,100.0,30.84,66.74,95.66,91.31,0.0,65.75,30.55,66.27,62.38,59.0,-0.01,74.77,73.91,100.0,NA,NA,100.0,100.0,0.7,100.0,38.66,51.3,100.0,100.0,0.97,13.15,35.08,59.96,12.65,12.15,0.0,0.16,22.42,64.79,0.13,0.09,1.0,50.95,27.35,67.34,48.28,45.62,-0.02,39.45,NA,NA,37.51,35.57,0.0,85.24,33.2,56.03,89.1,92.96,-0.24,100.0,46.11,55.41,100.0,100.0,0.0
7.0,eez,Solomon Islands,46.76,37.78,59.66,45.08,43.4,0.01,85.39,NA,NA,85.13,84.86,-0.09,87.0,37.15,61.19,79.74,72.48,0.18,75.91,36.44,58.25,73.41,70.92,0.0,61.12,68.37,74.56,68.73,76.34,-0.33,100.0,36.89,57.24,100.0,100.0,0.03,87.57,42.91,58.97,85.58,83.6,-0.01,87.57,NA,NA,85.58,83.6,-0.01,88.06,36.13,65.59,82.59,77.13,0.07,66.71,38.04,64.86,63.71,60.71,0.02,71.0,68.91,100.0,NA,NA,100.0,100.0,0.52,100.0,38.51,43.0,100.0,100.0,1.0,9.87,41.41,73.42,9.4,8.93,0.0,0.0,27.51,74.56,0.0,0.0,-1.0,100.0,32.08,69.83,85.74,71.48,0.84,38.29,NA,NA,36.56,34.82,0.01,82.73,42.59,59.43,87.66,92.59,-0.24,28.0,53.76,74.56,29.12,30.24,-0.21
8.0,eez,Palau,62.49,39.7,67.18,59.59,56.7,0.02,82.08,NA,NA,86.23,90.38,-0.26,88.42,31.88,64.3,92.39,96.36,-0.28,43.59,32.46,64.17,65.27,86.95,-0.9,68.16,51.54,67.2,74.92,81.68,-0.32,100.0,33.05,64.1,100.0,100.0,0.0,93.58,45.25,63.81,91.69,89.8,-0.03,93.56,NA,NA,91.67,89.78,-0.03,80.43,33.54,69.86,83.84,87.26,-0.3,65.65,37.61,68.14,62.37,59.09,0.02,63.34,67.8,73.82,NA,NA,82.68,91.54,-0.35,47.64,35.1,48.07,65.36,83.08,-0.7,40.71,41.43,71.18,38.89,37.07,0.0,2.62,23.2,70.33,3.03,3.44,-0.59,3.94,29.77,70.84,5.95,7.96,-0.96,53.18,NA,NA,50.63,48.08,0.01,83.74,45.9,60.3,88.62,93.5,-0.23,64.16,39.86,67.2,68.64,73.11,-0.32
9.0,eez,Micronesia,48.95,30.16,59.71,46.85,44.76,-0.01,91.7,NA,NA,93.09,94.48,0.01,100.0,31.55,48.64,97.61,95.21,0.09,100.0,33.36,48.61,92.81,85.63,0.99,63.61,70.58,54.42,64.81,66.0,0.03,44.18,28.23,63.72,48.48,52.79,-0.42,86.88,34.44,60.1,83.94,81.0,-0.02,86.88,NA,NA,83.94,81.0,-0.02,100.0,31.92,62.39,97.74,95.48,0.24,62.09,34.54,60.54,59.38,56.67,0.01,67.68,67.27,56.28,NA,NA,62.34,68.4,-0.39,68.39,29.79,47.79,76.2,84.02,-0.37,4.06,39.12,54.42,3.97,3.87,0.0,0.0,23.21,54.42,0.0,0.0,0.0,40.44,27.07,59.7,36.5,32.56,0.2,33.08,NA,NA,31.67,30.27,0.01,83.39,36.03,47.99,88.43,93.47,-0.22,55.88,51.81,54.42,63.04,70.2,-0.32
10.0,eez,Nauru,50.47,39.4,57.58,48.96,47.45,0.01,81.36,NA,NA,83.5,85.65,-0.11,100.0,33.96,46.32,98.21,96.41,NA,NA,NA,NA,NA,NA,NA,47.92,72.43,52.57,51.13,54.34,-0.08,75.32,36.06,61.26,72.43,69.53,0.0,94.14,47.65,58.42,93.57,93.0,-0.03,94.14,NA,NA,93.57,93.0,-0.03,82.29,37.98,60.5,79.89,77.48,-0.02,73.1,44.44,58.82,71.55,70.0,0.0,67.06,68.48,71.53,NA,NA,74.15,76.78,-0.18,67.73,38.71,54.35,75.87,84.02,-0.37,0.0,46.64,52.57,0.0,0.0,0.0,0.16,24.64,52.57,0.12,0.09,1.0,NA,NA,NA,NA,NA,NA,36.55,NA,NA,35.77,35.0,0.0,80.42,47.76,46.22,87.12,93.81,-0.21,54.55,57.05,52.57,62.57,70.6,-0.32
